#,NOMBRE,SEGUIDORES,TP,PAÍS,TEMA DE INFLUENCIA,ALCANCE POTENCIAL,GUARDAR,INVITAR A LA CAMPAÑA,channel_name_x,channel_id,channel_name_y,total_subscribers,total_views,total_videos
1,NoCopyrightSounds @UC_aEa8K-EOJ3D6gOs7HcyNg,32.9M,-,Reino Unido,Música,9.9M,,Ver Perfil,NoCopyrightSounds ,UC_aEa8K-EOJ3D6gOs7HcyNg,NoCopyrightSounds,34300000,12230304629,2069
2,DanTDM @UCS5Oz6CHmeoF7vSad0qqXfw,26.3M,-,Reino Unido,,7.9M,,Ver Perfil,DanTDM ,UCS5Oz6CHmeoF7vSad0qqXfw,DanTDM,29200000,20319971715,3788
3,KSI @UCVtFOytbRpEvzLjvqGG5gxQ,24M,-,Reino Unido,,7.2M,,Ver Perfil,KSI ,UCVtFOytbRpEvzLjvqGG5gxQ,KSI Music,24900000,6327590243,1269
4,Mister Max @UC_8PAD0Qmi6_gpe77S1Atgg,23M,0.1%,Reino Unido,,6.9M,,Ver Perfil,Mister Max ,UC_8PAD0Qmi6_gpe77S1Atgg,Mister Max,25200000,16682694995,1234
5,Jelly @UC0DZmkupLYwc0yDsfocLh0A,22.9M,-,Reino Unido,,6.9M,,Ver Perfil,Jelly ,UC0DZmkupLYwc0yDsfocLh0A,Jelly,23400000,15318829592,6885
6,Miss Katy @UCcartHVtvAUzfajflyeT_Gg,22.6M,-,Reino Unido,,6.8M,,Ver Perfil,Miss Katy ,UCcartHVtvAUzfajflyeT_Gg,Miss Katy,25600000,16513288012,1180
7,Dua Lipa @UC-J-KZfRV8c13fOCkhXdLiQ,21.1M,-,Reino Unido,,6.3M,,Ver Perfil,Dua Lipa ,UC-J-KZfRV8c13fOCkhXdLiQ,Dua Lipa,24700000,15600513797,318
8,Dan Rhodes @UC6D1L2vxEAg_Vi0JSxMBDgA,17.7M,0.3%,Reino Unido,,5.3M,,Ver Perfil,Dan Rhodes ,UC6D1L2vxEAg_Vi0JSxMBDgA,Dan Rhodes,26400000,19253628546,1727
9,Ali-A @UCYVinkwSX7szARULgYpvhLw,17.7M,-,Reino Unido,,5.3M,,Ver Perfil,Ali-A ,UCYVinkwSX7szARULgYpvhLw,Ali-A,19700000,7202059620,5013
10,Gaby and Alex @UCHwBjRoGO1V-H8QYXjSVHkQ,17M,-,Reino Unido,,5.1M,,Ver Perfil,Gaby and Alex ,UCHwBjRoGO1V-H8QYXjSVHkQ,Gaby and Alex,17300000,9589283255,370
11,Sidemen @sidemen,17M,2.8%,Reino Unido,,5.1M,,Ver Perfil,Sidemen ,sidemen,,,,
12,Queen Official @UCiMhD4jzUqG-IgPzUmmytRQ,16.3M,-,Reino Unido,,4.9M,,Ver Perfil,Queen Official ,UCiMhD4jzUqG-IgPzUmmytRQ,Queen Official,18800000,13311896968,1528
13,Little Mix @UCIvqWqjC4aLvp7zI8hzARrA,16.1M,-,Reino Unido,,4.8M,,Ver Perfil,Little Mix ,UCIvqWqjC4aLvp7zI8hzARrA,Little Mix,16500000,8514445626,278
14,JJ Olatunji @UCGmnsW623G1r-Chmo5RB4Yw,15.9M,-,Reino Unido,,4.8M,,Ver Perfil,JJ Olatunji ,UCGmnsW623G1r-Chmo5RB4Yw,KSI,17200000,4679166264,1477
15,F2Freestylers - Ultimate Soccer Skills Channel @UCKvn9VBLAiLiYL4FFJHri6g,14M,0.2%,Reino Unido,Celebridad,4.2M,,Ver Perfil,F2Freestylers - Ultimate Soccer Skills Channel ,UCKvn9VBLAiLiYL4FFJHri6g,Pro Football Academy – The Next Gen of Ballers!,13900000,3409686193,839
16,BBC News @UC16niRr50-MSBwiO3YDb3RA,13.3M,-,Reino Unido,,4M,,Ver Perfil,BBC News ,UC16niRr50-MSBwiO3YDb3RA,BBC News,19200000,6633593916,28664
